tbf	ttr
15457.70	0
23825.61	11
21153.42	0
122609.85	9
13649.80	45
29346.28	12
83465.67	66
39296.84	4
64464.62	17
94111.25	3
134496.80	17
74178.98	35
23664.65	34
26459.17	12
10888.38	15
66917.70	0
89672.05	11
75811.97	16
6394.06	49
27272.89	27
10163.95	22
19946.80	30
120136.95	9
16426.24	6
82688.00	7
9105.75	0
19680.35	33
11586.76	8
3564.60	5
266.55	1
14312.52	34
5742.01	12
42643.51	8
25499.98	2
6237.80	12
51323.18	24
3321.70	30
54649.75	9
49417.91	31
10023.91	22
147757.77	15
28178.57	2
1684.55	24
9946.39	22
31812.30	2
24693.65	29
2396.83	4
27302.42	4
46762.29	44
1918.09	28
32288.38	14
