tbf	ttr
76701.28	23
4505.75	18
24044.87	129
7387.10	2
5807.30	7
97335.05	1
11098.35	7
61953.62	8
3372.62	64
5958.63	16
19345.25	13
95305.55	5
36776.06	9
20341.30	27
76909.24	25
21912.09	79
21531.17	2
6428.54	3
71319.36	45
11912.98	10
28418.53	1
26525.64	4
13561.77	34
5377.49	13
19059.26	22
3819.08	9
3295.70	41
11082.84	39
54728.49	42
23158.16	4
12031.43	9
103160.59	23
24715.40	9
6311.18	14
42192.81	2
3178.56	16
13776.29	6
63648.20	16
1361.27	94
26968.34	18
42706.51	38
14684.16	10
3800.09	30
61683.95	60
7186.06	7
17199.49	31
36402.14	34
15812.47	11
79392.18	8
11281.19	6
48122.68	1
26575.76	16
27193.91	17
17736.89	33
35397.53	2
6673.64	1
13609.59	12
12996.19	22
2448.36	15
24843.35	5
9339.96	1
20141.12	0
1971.90	15
50162.77	10
14759.31	8
15639.35	29
6489.46	82
11916.71	1
3605.60	8
101429.68	4
